,Links,Category,Product_name,Price,Package,Quantity
178,https://ickala.com/dc-to-dc-converters/28721-mcwi03-24d12.html,dc-to-dc-converters,MCWI03-24D12-Copy,7798950,None,10
179,https://ickala.com/dc-to-dc-converters/28722-mcwi03-48s12.html,dc-to-dc-converters,MCWI03-48S12-Copy,7534080,None,10
180,https://ickala.com/dc-to-dc-converters/28726-mcwi05-12s033.html,dc-to-dc-converters,MCWI05-12S033-Copy,9040460,None,10
181,https://ickala.com/dc-to-dc-converters/28727-mcwi05-12s05.html,dc-to-dc-converters,MCWI05-12S05-Copy,9040460,None,10
182,https://ickala.com/dc-to-dc-converters/28729-mcwi05-12s15.html,dc-to-dc-converters,MCWI05-12S15-Copy,9040460,None,10
183,https://ickala.com/dc-to-dc-converters/28730-mcwi05-12s24.html,dc-to-dc-converters,MCWI05-12S24-Copy,9040460,None,10
184,https://ickala.com/dc-to-dc-converters/28740-mcwi05-48s12.html,dc-to-dc-converters,MCWI05-48S12-Copy,9748960,None,10
185,https://ickala.com/dc-to-dc-converters/28741-mcwi05-48s15.html,dc-to-dc-converters,MCWI05-48S15-Copy,9748960,None,10
186,https://ickala.com/dc-to-dc-converters/28742-mcwi05-48s24.html,dc-to-dc-converters,MCWI05-48S24-Copy,9748960,None,10
187,https://ickala.com/dc-to-dc-converters/28744-mcwi05-48d15.html,dc-to-dc-converters,MCWI05-48D15-Copy,10104300,None,10
188,https://ickala.com/dc-to-dc-converters/28752-mew1022.html,dc-to-dc-converters,MEW1022-Copy,10104300,None,10
189,https://ickala.com/dc-to-dc-converters/28753-mew1023.html,dc-to-dc-converters,MEW1023-Copy,10104300,None,10
190,https://ickala.com/dc-to-dc-converters/28754-mew1024.html,dc-to-dc-converters,MEW1024-Copy,10104300,None,10
191,https://ickala.com/dc-to-dc-converters/28755-mew1025.html,dc-to-dc-converters,MEW1025-Copy,10104300,None,10
192,https://ickala.com/dc-to-dc-converters/28751-mew1021.html,dc-to-dc-converters,MEW1021-Copy,10104300,None,10
193,https://ickala.com/dc-to-dc-converters/28756-mew1026.html,dc-to-dc-converters,MEW1026-Copy,10104300,None,10
194,https://ickala.com/dc-to-dc-converters/28757-mew1027.html,dc-to-dc-converters,MEW1027-Copy,10104300,None,10
195,https://ickala.com/dc-to-dc-converters/28758-mew1031.html,dc-to-dc-converters,MEW1031-Copy,10104300,None,10
196,https://ickala.com/dc-to-dc-converters/28759-mew1032.html,dc-to-dc-converters,MEW1032-Copy,10104300,None,10
197,https://ickala.com/dc-to-dc-converters/28761-mew1034.html,dc-to-dc-converters,MEW1034-Copy,10104300,None,10
198,https://ickala.com/dc-to-dc-converters/28760-mew1033.html,dc-to-dc-converters,MEW1033-Copy,10104300,None,10
199,https://ickala.com/dc-to-dc-converters/28763-mew1036.html,dc-to-dc-converters,MEW1036-Copy,10104300,None,10
200,https://ickala.com/dc-to-dc-converters/28762-mew1035.html,dc-to-dc-converters,MEW1035-Copy,10104300,None,10
201,https://ickala.com/dc-to-dc-converters/28764-mew1037.html,dc-to-dc-converters,MEW1037-Copy,10104300,None,10
202,https://ickala.com/dc-to-dc-converters/28765-miwi03-24s033.html,dc-to-dc-converters,MIWI03-24S033-Copy,9748960,None,10
203,https://ickala.com/dc-to-dc-converters/28771-miwi03-24s24.html,dc-to-dc-converters,MIWI03-24S24-Copy,9748960,None,10
204,https://ickala.com/dc-to-dc-converters/28773-miwi03-24d12.html,dc-to-dc-converters,MIWI03-24D12-Copy,10104300,None,10
205,https://ickala.com/dc-to-dc-converters/28774-miwi03-24d15.html,dc-to-dc-converters,MIWI03-24D15-Copy,9394710,None,10
206,https://ickala.com/dc-to-dc-converters/28772-miwi03-24d05.html,dc-to-dc-converters,MIWI03-24D05-Copy,10104300,None,10
207,https://ickala.com/dc-to-dc-converters/28790-miwi03-48s033.html,dc-to-dc-converters,MIWI03-48S033-Copy,9040460,None,10
208,https://ickala.com/dc-to-dc-converters/28805-miwi03-48s24.html,dc-to-dc-converters,MIWI03-48S24-Copy,9748960,None,10
209,https://ickala.com/dc-to-dc-converters/42137-mkw15-24s05m.html,dc-to-dc-converters,MKW15-24S05M,26375820,None,10
210,https://ickala.com/dc-to-dc-converters/28803-miwi03-48s12.html,dc-to-dc-converters,MIWI03-48S12-Copy,9748960,None,10
211,https://ickala.com/dc-to-dc-converters/35302-mslu155.html,dc-to-dc-converters,MSLU155,2725000,None,10
212,https://ickala.com/dc-to-dc-converters/28806-miwi03-48d12.html,dc-to-dc-converters,MIWI03-48D12-Copy,9394710,None,10
213,https://ickala.com/dc-to-dc-converters/38853-miw1024-38853.html,dc-to-dc-converters,MIW1024,5744300,None,10
214,https://ickala.com/dc-to-dc-converters/39126-mkw1021-39126.html,dc-to-dc-converters,MKW1021,14170000,None,10
215,https://ickala.com/dc-to-dc-converters/39127-mkw1028-39127.html,dc-to-dc-converters,MKW1028,14715000,None,10
216,https://ickala.com/dc-to-dc-converters/39128-mkw1033-39128.html,dc-to-dc-converters,MKW1033,13625000,None,10
217,https://ickala.com/dc-to-dc-converters/39185-mkw1034-39185.html,dc-to-dc-converters,MKW1034,13625000,None,10
218,https://ickala.com/dc-to-dc-converters/39186-mkw1042-39186.html,dc-to-dc-converters,MKW1042,13625000,None,10
219,https://ickala.com/dc-to-dc-converters/39187-mkw1042-39186-39187.html,dc-to-dc-converters,MKW1046,13625000,None,10
220,https://ickala.com/dc-to-dc-converters/39189-mkw1042-39186-39187-39189.html,dc-to-dc-converters,MKW1047,13625000,None,10
221,https://ickala.com/dc-to-dc-converters/39227-miwi06-24s033-copy.html,dc-to-dc-converters,MIWI06-24S033-Copy,5395500,None,10
222,https://ickala.com/dc-to-dc-converters/39228-miwi06-24s033-copy-39228.html,dc-to-dc-converters,MIWI06-24S12-Copy,5395500,None,10
223,https://ickala.com/dc-to-dc-converters/39262-miwi06-48s12-copy.html,dc-to-dc-converters,MIWI06-48S12-Copy,5395500,None,10
224,https://ickala.com/dc-to-dc-converters/39260-miwi06-48s033-copy.html,dc-to-dc-converters,MIWI06-48S033-Copy,5395500,None,10
225,https://ickala.com/dc-to-dc-converters/39264-miwi06-48d05-copy.html,dc-to-dc-converters,MIWI06-48D05-Copy,5886000,None,10
